ablation,x,EQ,EE
topk,1,26,0.88
topk,3,62,0.69
topk,5,91,0.61
topk,7,105,0.5
topk,9,109,0.41
model_size,7B,59,0.65
model_size,8B,60,0.66
model_size,13B,62,0.69
model_size,33B,62,0.69
model_size,70B,63,0.7
threshold,0.1,62,0.69
threshold,0.3,61,0.68
threshold,0.5,48,0.53
threshold,0.7,16,0.18
threshold,0.9,0,0.0
n_anchors,1,65,0.72
n_anchors,3,62,0.69
n_anchors,5,64,0.71
n_anchors,7,61,0.68
n_anchors,9,66,0.74
memory_size,100,47,0.52
memory_size,200,58,0.64
memory_size,300,62,0.69
memory_size,400,65,0.72
memory_size,500,72,0.8
domain,aware,62,
domain,agnostic,63,
embedding,hashing-128,66,
embedding,hashing-256,62,
embedding,hashing-512,63,
scoring,cosine,62,
scoring,dot,63,
scoring,l2,65,
