metric,round_or_banrate,value
L1_gap,1,1.448
L1_gap,2,1.115
L1_gap,3,1.103
L1_gap,4,0.977
L1_gap,5,0.897
L1_gap,6,0.908
L1_gap,7,0.897
L1_gap,8,0.813
L1_gap,9,0.822
L1_gap,10,0.832
L1_gap,11,0.844
L1_gap,12,0.854
L1_gap,13,0.863
L1_gap,14,0.870
L1_gap,15,0.877
L1_gap,16,0.841
L1_gap,17,0.848
L1_gap,18,0.854
L1_gap,19,0.860
L1_gap,20,0.832
L1_gap,21,0.839
L1_gap,22,0.844
L1_gap,23,0.850
L1_gap,24,0.854
L1_gap,25,0.859
L1_gap,26,0.863
L1_gap,27,0.842
L1_gap,28,0.799
L1_gap,29,0.782
L1_gap,30,0.788
EQ,1,3
EQ,2,6
EQ,3,9
EQ,4,12
EQ,5,15
EQ,6,17
EQ,7,18
EQ,8,21
EQ,9,24
EQ,10,27
EQ,11,28
EQ,12,30
EQ,13,32
EQ,14,33
EQ,15,36
EQ,16,38
EQ,17,41
EQ,18,42
EQ,19,42
EQ,20,44
EQ,21,46
EQ,22,49
EQ,23,51
EQ,24,53
EQ,25,55
EQ,26,55
EQ,27,57
EQ,28,60
EQ,29,62
EQ,30,63
rate_control_EQ,0.0,63
rate_control_EQ,0.1,56
rate_control_EQ,0.25,54
rate_control_EQ,0.38,49
rate_control_EQ,0.59,31
