attack,model,ehragent_EQ,ehragent_EE,ehragent_CER,ehragent_ASR,react_EQ,react_EE,react_CER,react_ASR,rap_EQ,rap_EE,rap_CER,rap_ASR
Vanilla,llama2-7b-chat,7,0.08,0.0,0.23,1,0.01,0.0,0.03,7,0.08,0.0,0.23
Vanilla,mistral-7b-instruct,7,0.08,0.0,0.23,2,0.02,0.0,0.07,7,0.08,0.0,0.23
Vanilla,qwen2-72b,7,0.08,0.0,0.23,2,0.02,0.0,0.07,7,0.08,0.0,0.23
Vanilla,chatgpt-4,7,0.08,0.0,0.23,2,0.02,0.0,0.07,7,0.08,0.0,0.23
RAG-Thief,llama2-7b-chat,26,0.29,0.0,0.87,18,0.2,0.17,0.6,21,0.23,0.0,0.7
RAG-Thief,mistral-7b-instruct,26,0.29,0.0,0.87,18,0.2,0.2,0.6,21,0.23,0.0,0.7
RAG-Thief,qwen2-72b,26,0.29,0.0,0.87,20,0.22,0.23,0.57,21,0.23,0.0,0.7
RAG-Thief,chatgpt-4,27,0.3,0.0,0.9,20,0.22,0.23,0.57,21,0.23,0.0,0.7
Pirate,llama2-7b-chat,32,0.36,0.1,0.93,21,0.23,0.2,0.7,24,0.27,0.03,0.8
Pirate,mistral-7b-instruct,32,0.36,0.1,0.93,22,0.24,0.17,0.73,24,0.27,0.03,0.8
Pirate,qwen2-72b,33,0.37,0.13,0.93,23,0.26,0.2,0.7,24,0.27,0.03,0.8
Pirate,chatgpt-4,36,0.4,0.17,0.97,23,0.26,0.2,0.7,24,0.27,0.03,0.8
MEXTRA,llama2-7b-chat,39,0.43,0.3,0.8,22,0.24,0.17,0.57,26,0.29,0.2,0.6
MEXTRA,mistral-7b-instruct,38,0.42,0.2,0.93,24,0.27,0.2,0.57,26,0.29,0.07,0.73
MEXTRA,qwen2-72b,40,0.44,0.23,0.97,24,0.27,0.2,0.57,28,0.31,0.13,0.73
MEXTRA,chatgpt-4,40,0.44,0.23,0.97,24,0.27,0.2,0.57,28,0.31,0.13,0.73
ADAM,llama2-7b-chat,60,0.67,0.9,0.93,39,0.43,0.6,0.7,40,0.44,0.87,0.67
ADAM,mistral-7b-instruct,60,0.67,0.9,0.93,42,0.47,0.57,0.77,40,0.44,0.87,0.67
ADAM,qwen2-72b,62,0.69,0.93,0.9,42,0.47,0.57,0.77,41,0.46,0.93,0.7
ADAM,chatgpt-4,63,0.7,0.97,0.93,42,0.47,0.57,0.77,41,0.46,0.93,0.7
